seed_id,title,page_thesis,section_key,section_name,quote_text,suggested_links
sq_phase2_II2_01,Quote — II.2 : un nominalisme non étatiste permet d’affirmer que les CM font monnaie,146,II.2,"II.2 « Pourtant, elles font monnaie ! » : à l’aune d’un nominalisme « non étatiste » attentif aux usages","La deuxième section (II.2) sera l’occasion de préciser notre approche inscrite dans l’institutionnalisme monétaire et empruntant à l’ethnographie économique. Nous nous inscrivons ainsi dans un nominalisme non étatiste, qui nous permet d’affirmer que ni les fonctions canoniques de la monnaie, ni l’exclusivité étatique ne peuvent servir à reléguer les CM hors du champ de la monnaie. En effet, à la lumière des pratiques, les CM présentent bien les caractéristiques minimales reconnues de toute monnaie et s’intègrent aisément au phénomène des monnaies parallèles.","II.2 « Pourtant, elles font monnaie ! » : à l'aune d'un nominalisme « non étatiste » attentif aux usages | Nominalisme monetaire non etatiste | Monétisation des cryptomonnaies | Communaute de paiement / Groupe monetaire"
sq_phase2_II2_02,Quote — les UCN offrent des prestations monétaires exclusives dans leur sphère propre,182,II.2,"II.2 « Pourtant, elles font monnaie ! » : à l’aune d’un nominalisme « non étatiste » attentif aux usages","Bitcoin et Ethereum ont leur sphère d’activité propre, où leurs UCN offrent des prestations monétaires de paiement et de règlement exclusives, évoluant dynamiquement avec les renégociations d’acteurs. Ces usages en compte et en paiement, qu’ils soient en propre ou « dérivés », confèrent aux CM le statut de monnaie, car, comme le souligne Knapp, « ce n’est pas l’émission, mais l’acceptation qui est décisive ».",UCN BTC | UCN ETH | Communaute de paiement / Groupe monetaire | Monétisation des cryptomonnaies
sq_phase2_II3_01,Quote — la singularité monétaire des CM tient à leur gouvernance,186,II.3,II.3 Au-delà de la revendication d’une absence de gouvernance !,"Cette dernière section poursuit notre tentative de caractérisation des CM, que sont Bitcoin et Ethereum, dans le champ de la monnaie. C’est qu’à rechercher ce qui distingue les CM des autres formes de monnaie connues, nous serons conduit à l’hypothèse que c’est leur gouvernance qui fait leur singularité monétaire. Si, pour nous, les CM font bien monnaie, ce n’est ni dans le sens des experts monétaires, ni dans celui des coiners vocaux.",Gouvernance duale | Polycentric Governance | Bitcoin | Ethereum
sq_phase2_II3_02,Quote — analyser positivement la gouvernance devient un critère de distinction,202,II.3,II.3 Au-delà de la revendication d’une absence de gouvernance !,"La question posée en termes de substitution / concurrence entre les monnaies nationales et les CM n’est pas selon nous la bonne. Tout d’abord, il est faux de croire que les CM sont immutables, qu’elles ne s’adaptent pas à leur environnement et donc qu’elles ne disposent d’aucune gouvernance. En second lieu, caractériser cette gouvernance devient un critère de distinction déterminant dans le champ de la monnaie et des crypto-actifs. Par conséquent, il est impératif de l’analyser positivement.",Gouvernance | Gouvernance duale | Crypto-actif | Cryptomonnaie (CM)
sq_phase2_II3_2_01,Quote — coiners et critiques partagent le schème de la bonne et de la mauvaise monnaie,191,II.3.2,II.3.2 — Retournement positif du concept : réintégrer le pouvoir et la politique,"N’en déplaise aux coiners, ces autres filiations des CM font que nombre d’entre eux partagent pour partie les visions monétaires de leurs critiques. Avec leur libéralisme techniciste, une partie des coiners épouse le cadre marchand et concurrentiel qui sert de terreau commun aux critiques académiques. N’en déplaise aux académiques, ils partagent avec les coiners des vues similaires en questionnant les CM à l’aune d’une concurrence entre « bonne » et « mauvaise » monnaies.",Règle contre discrétion (Rules vs Discretion) | Monétisation des cryptomonnaies | Bitcoin
sq_phase2_II3_2_02,"Quote — pour les académiques, l’absence de gouvernance rend les CM mauvaises",196,II.3.2,II.3.2 — Retournement positif du concept : réintégrer le pouvoir et la politique,"À l’inverse, cette absence de gouvernance conçue comme absolument désirable par certains coiners est, pour les académiques, la marque rédhibitoire qu’elles ne seraient que de mauvais succédanés de monnaie.",Absence de gouvernance | Cryptomonnaie (CM) | Règle contre discrétion (Rules vs Discretion)
sq_phase2_III2_01,"Quote — quand la gouvernance par le protocole fait défaut, il faut une gouvernance sur le protocole",254,III.2,III.2 Des marques d’une politique de crises : une gouvernance de huis clos routinière,"Pourtant, les codes Bitcoin, constituant sa gouvernance par le protocole, sont faillibles et dès qu’ils sont reconnus comme ne correspondant pas aux attentes de la communauté des usagers, ils entrent en crise. Dans cette situation où la gouvernance par le protocole est mise en défaut, il ne faut pas attendre d’elle qu’elle se remette en ordre. Cette situation nécessite une gouvernance sur le protocole, renvoyant à des activités humaines, médiatisées par des dispositifs socio-techniques en dehors de la chaîne.",Gouvernance par l’infrastructure | Gouvernance sur l’infrastructure | Gouvernance de huis clos | Politique de crise
sq_phase2_III2_02,Quote — la procédure simplifiée se satisfait d’un consensus essentiellement local,281,III.2,III.2 Des marques d’une politique de crises : une gouvernance de huis clos routinière,"Ainsi, les deux types de procédures d’évolution de Bitcoin assurent la production d’un consensus, mais leurs formes diffèrent. Là où un BIP impose de mobiliser l’ensemble des composantes communautaires de Bitcoin, la procédure simplifiée des PR, elle, déroge à ce principe de publicité large des débats et se satisfait d’un consensus essentiellement local entre spécialistes.",BIP (Bitcoin Improvement Proposal) | Bitcoin Core (repo) | Gouvernance de huis clos | Core Developers (Bitcoin)
sq_phase2_III3_3_01,"Quote — dans une crise d’évolution, le consensus doit être global et non local",317,III.3.3,III.3.3 — Gouvernance ouverte et publique pour des Forks controversés,"Cette famille d’interventions nous place dans une crise d’évolution à gouvernance publique. La controverse ouverte immédiatement au déclenchement de la crise montre que la reconnaissance d’une transgression de la lettre des codes d’Ethereum à leur esprit n’est pas évidente pour la communauté. Diagnostics et solutions ne sont pas confinés aux Core Devs d’Ethereum, mais relèvent d’un problème public et de négociations communautaires ouvertes en urgence. Contrairement à la gouvernance de huis clos, il apparaît d’emblée que le consensus se doit d’être global et non local.",Gouvernance publique et ouverte | Hard Fork | Soft Fork | Core Developers (Ethereum) | The DAO
sq_phase2_III3_3_02,Quote — la gouvernance sur Ethereum fonctionne avec des signaux,328,III.3.3,III.3.3 — Gouvernance ouverte et publique pour des Forks controversés,"De bonnes pratiques et des procédures d’expression des désaccords et d’élaboration de consensus ad hoc ont été institutionnalisées : la procédure des EIP, inspirée des BIP Bitcoin, allait être complétée de différents mécanismes permettant de coordonner une diversité d’équipes d’implémentation client différentes, inclure des arènes de discussion vidéo avec retranscription accessible à la communauté. Les problématiques posées par la mesure du soutien communautaire aux Forks ont montré que : « la gouvernance sur Ethereum, elle fonctionne vraiment avec des signaux ».",EIP (Ethereum Improvement Proposal) | BIP (Bitcoin Improvement Proposal) | All Core Dev Meetings (Ethereum) | Gouvernance publique et ouverte | Ethereum
